utterance	representation
miles from my location to Walmart	[IN:GET_DISTANCE [SL:UNIT_DISTANCE miles ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER my location ] ] ] to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Walmart ] ] ] ]
If the grocery store closes at 10 pm, can I get there in time if I leave my house right now?	[IN:GET_ESTIMATED_ARRIVAL If [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the grocery store ] ] ] closes [SL:DATE_TIME_ARRIVAL at 10 pm ] , can I get there in time if I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] [SL:DATE_TIME_DEPARTURE right now ] ? ]
#1 nightclub in downtown Manhattan	[IN:UNSUPPORTED # 1 nightclub in downtown Manhattan ]
what is the distance between LA and NYC	[IN:GET_DISTANCE what is the distance between [SL:SOURCE LA ] and [SL:DESTINATION NYC ] ]
Who has the cheapest food next to the concert arena	[IN:UNSUPPORTED Who has the cheapest food next to the concert arena ]
When is Kelly's graduation party?	[IN:UNSUPPORTED When is Kelly 's graduation party ? ]
When should I request an Uber to get to Gaby's by 6 pm?	[IN:GET_ESTIMATED_DEPARTURE When should I request an [SL:METHOD_TRAVEL Uber ] to get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Gaby ] ] ] 's [SL:DATE_TIME_ARRIVAL by 6 pm ] ? ]
How far is Centerville, NY to Texarkana, AR	[IN:GET_DISTANCE How far is [SL:SOURCE Centerville , NY ] to [SL:DESTINATION Texarkana , AR ] ]
Can I get to Portland before 5pm?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Portland ] [SL:DATE_TIME_ARRIVAL before 5 pm ] ? ]
What time does tomorrow's game start?	[IN:UNSUPPORTED What time does tomorrow 's game start ? ]
What time should I leave if I need to be in the concert hall at 7pm	[IN:GET_ESTIMATED_DEPARTURE What time should I leave if I need to be in [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the concert hall ] ] ] [SL:DATE_TIME_ARRIVAL at 7 pm ] ]
how far is it to Chicago from here	[IN:GET_DISTANCE how far is it to [SL:DESTINATION Chicago ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ]
Can I get from here to Manhattan before 5pm?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Manhattan ] [SL:DATE_TIME_ARRIVAL before 5 pm ] ? ]
will i make it to d.c. by four	[IN:GET_ESTIMATED_ARRIVAL will i make it to [SL:DESTINATION d.c . ] [SL:DATE_TIME_ARRIVAL by four ] ]
I need to go to Greensboro tomorrow morning,  what time do I need to get out of here to get there by 8:30am?	[IN:GET_ESTIMATED_DEPARTURE I need to go to [SL:DESTINATION Greensboro ] [SL:DATE_TIME_DEPARTURE tomorrow morning ] , what time do I need to get out of [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to get there [SL:DATE_TIME_ARRIVAL by 8 : 30 am ] ? ]
How far from McKinney to Galveston?	[IN:GET_DISTANCE How far from [SL:SOURCE McKinney ] to [SL:DESTINATION Galveston ] ? ]
What is the distance between Ohio and Texas	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Ohio ] and [SL:DESTINATION Texas ] ]
alternate routes	[IN:UPDATE_DIRECTIONS alternate routes ]
What's the distance between Albuquerque and Santa Fe	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Albuquerque ] and [SL:DESTINATION Santa Fe ] ]
Will I arrive on time in Harrisburg based on current traffic	[IN:GET_ESTIMATED_ARRIVAL Will I arrive on time in [SL:DESTINATION Harrisburg ] based on current traffic ]
Show me my location	[IN:GET_LOCATION Show me my location ]
Cruise and broadway play package deals in January	[IN:UNSUPPORTED_EVENT Cruise and broadway play package deals in January ]
What time will I reach West Palm Beach, FL coming from Royal Palm Beach FL	[IN:GET_ESTIMATED_ARRIVAL What time will I reach [SL:DESTINATION West Palm Beach , FL ] coming from [SL:SOURCE Royal Palm Beach FL ] ]
Exterminator for mice	[IN:UNSUPPORTED_EVENT Exterminator for mice ]
Which colleges have accepted  my Black friends for admission?	[IN:UNSUPPORTED Which colleges have accepted my Black friends for admission ? ]
How soon do I need leave if I want to reach Louisville by 7:00 am tomorrow?	[IN:GET_ESTIMATED_DEPARTURE How soon do I need leave if I want to reach [SL:DESTINATION Louisville ] [SL:DATE_TIME_ARRIVAL by 7 : 00 am tomorrow ] ? ]
what is the best time to leave Londrina to get to Ilha Bela by 8 o'clock?	[IN:GET_ESTIMATED_DEPARTURE what is the best time to leave [SL:SOURCE Londrina ] to get to [SL:DESTINATION Ilha Bela ] [SL:DATE_TIME_ARRIVAL by 8 o'clock ] ? ]
Are there any quiet restaurants in Houston on the weekends	[IN:UNSUPPORTED Are there any quiet restaurants in Houston on the weekends ]
What's the distance between California and New York	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE California ] and [SL:DESTINATION New York ] ]
Places to eat in West Hollywood tonight	[IN:UNSUPPORTED Places to eat in West Hollywood tonight ]
what is the distance from new york to boston	[IN:GET_DISTANCE what is the distance from [SL:SOURCE new york ] to [SL:DESTINATION boston ] ]
Fifth Third field is located where	[IN:UNSUPPORTED Fifth Third field is located where ]
When can I start buying tickets to The Nutcracker	[IN:UNSUPPORTED_EVENT When can I start buying tickets to The Nutcracker ]
Where do forty year olds like to hang out around my location	[IN:UNSUPPORTED Where do forty year olds like to hang out around my location ]
What is the distance between Central Park and Bronx	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Central Park ] and [SL:DESTINATION Bronx ] ]
How far apart is Philadelphia and Seattle	[IN:GET_DISTANCE How far apart is [SL:SOURCE Philadelphia ] and [SL:DESTINATION Seattle ] ]
Tell me when I should leave here by if I want to arrive at home by midnight.	[IN:GET_ESTIMATED_DEPARTURE Tell me when I should leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] by if I want to arrive at [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_ARRIVAL by midnight ] . ]
Please calculate an alternative route to Queens	[IN:UPDATE_DIRECTIONS Please calculate an alternative route to [SL:DESTINATION Queens ] ]
If I leave here now, can I get to dad's house by 1pm?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE now ] , can I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION dad ] 's house ] ] [SL:DATE_TIME_ARRIVAL by 1 pm ] ? ]
Mexican restaurants open late	[IN:UNSUPPORTED Mexican restaurants open late ]
Where would be a good educational place to take my children	[IN:UNSUPPORTED Where would be a good educational place to take my children ]
How much will college cost for my son?	[IN:UNSUPPORTED How much will college cost for my son ? ]
whats the distance between phoenix and scottsdale	[IN:GET_DISTANCE whats the distance between [SL:SOURCE phoenix ] and [SL:DESTINATION scottsdale ] ]
How many miles is it between Alachua andGainesville Florida	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it between [SL:SOURCE Alachua ] [SL:DESTINATION andGainesville Florida ] ]
Tell me the distance between New York City and The Hamptons	[IN:GET_DISTANCE Tell me the distance between [SL:SOURCE New York City ] and [SL:DESTINATION The Hamptons ] ]
Is Daniela art performance next week ?	[IN:UNSUPPORTED Is Daniela art performance next week ? ]
Can I make it to the LVJ coliseum by 2 if I leave home now?	[IN:GET_ESTIMATED_ARRIVAL Can I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the LVJ coliseum ] ] ] [SL:DATE_TIME_ARRIVAL by 2 ] if I leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_DEPARTURE now ] ? ]
where to get the best pizza in Bowling Green	[IN:UNSUPPORTED_EVENT where to get the best pizza in Bowling Green ]
If i need to get to Norfolk by 10pm, when do i need to leave Wilmington	[IN:GET_ESTIMATED_DEPARTURE If i need to get to [SL:DESTINATION Norfolk ] [SL:DATE_TIME_ARRIVAL by 10 pm ] , when do i need to leave [SL:SOURCE Wilmington ] ]
Are there any photographers near me	[IN:UNSUPPORTED_EVENT Are there any photographers near me ]
how much longer till I reach florida	[IN:GET_ESTIMATED_ARRIVAL how much longer till I reach [SL:DESTINATION florida ] ]
WHAT IS THE DISTANCE BETWEEN PROVO UTAH AND DENVER COLORADO	[IN:GET_DISTANCE WHAT IS THE DISTANCE BETWEEN [SL:SOURCE PROVO UTAH ] AND [SL:DESTINATION DENVER COLORADO ] ]
Do you know the best company to work for in SF that my friends work at?	[IN:UNSUPPORTED Do you know the best company to work for in SF that my friends work at ? ]
Who has gone to my favorite restaurant	[IN:UNSUPPORTED Who has gone to my favorite restaurant ]
what is the distance between miami and chicago	[IN:GET_DISTANCE what is the distance between [SL:SOURCE miami ] and [SL:DESTINATION chicago ] ]
I need to get to downtown Louisville by 6 PM, what time should I leave?	[IN:GET_ESTIMATED_DEPARTURE I need to get to [SL:DESTINATION downtown Louisville ] [SL:DATE_TIME_ARRIVAL by 6 PM ] , what time should I leave ? ]
Hours for Disney World this weekend	[IN:UNSUPPORTED Hours for Disney World this weekend ]
Can I get to Culver City by 6 PM if I leave in one hour and take the bus?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Culver City ] [SL:DATE_TIME_ARRIVAL by 6 PM ] if I leave [SL:DATE_TIME_DEPARTURE in one hour ] and take the [SL:METHOD_TRAVEL bus ] ? ]
How far is Denver from Mount Rushmore	[IN:GET_DISTANCE How far is [SL:DESTINATION Denver ] from [SL:SOURCE Mount Rushmore ] ]
How many miles between Detroit and NYC	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE Detroit ] and [SL:DESTINATION NYC ] ]
Which restaurants are open near me on New Years Eve	[IN:UNSUPPORTED Which restaurants are open near me on New Years Eve ]
How many miles do I need to walk to hit 10 000 steps	[IN:UNSUPPORTED How many miles do I need to walk to hit 10 000 steps ]
If I leave in 30 mins when should I get to my mom's house taking the back roads	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE in 30 mins ] when should I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION mom ] 's house ] ] taking [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION the back roads ] ] ] ]
How many miles between Chicago and Rockford	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE Chicago ] and [SL:DESTINATION Rockford ] ]
If I want to arrive at the long beach baseball park by 3 pm what time do I need to leave home	[IN:GET_ESTIMATED_DEPARTURE If I want to arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the long beach baseball park ] ] ] [SL:DATE_TIME_ARRIVAL by 3 pm ] what time do I need to leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] ]
what is the distance between spring hill and tampa	[IN:GET_DISTANCE what is the distance between [SL:SOURCE spring hill ] and [SL:DESTINATION tampa ] ]
Best restaurants with Live music in LA	[IN:UNSUPPORTED Best restaurants with Live music in LA ]
Given the current traffic flow, can I get from Kenosha to Green Bay before 4pm?	[IN:GET_ESTIMATED_ARRIVAL Given the current traffic flow , can I get from [SL:SOURCE Kenosha ] to [SL:DESTINATION Green Bay ] [SL:DATE_TIME_ARRIVAL before 4 pm ] ? ]
How far is it from here to Panama city beach	[IN:GET_DISTANCE How far is it from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Panama city beach ] ]
ac on	[IN:UNSUPPORTED ac on ]
Can I get to Chicago by 5:00pm  with the current traffic conditions?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Chicago ] [SL:DATE_TIME_ARRIVAL by 5 : 00 pm ] with the current traffic conditions ? ]
How many miles does it take to get to Houston Texas from my home	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] does it take to get to [SL:DESTINATION Houston Texas ] from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] home ] ] ]
Did my dad schedule his yearly exam with his dermatologist	[IN:UNSUPPORTED Did my dad schedule his yearly exam with his dermatologist ]
What's the length of the route to the Civic center?	[IN:GET_DISTANCE What 's the length of the route to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Civic center ] ] ] ? ]
How many miles is it to Miami	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it to [SL:DESTINATION Miami ] ]
If I leave at 10 what time will I arrive in Harlingen?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE at 10 ] what time will I arrive in [SL:DESTINATION Harlingen ] ? ]
If I leave the VA hospital in biloxi  at 9am and only use 1-10 what time will I arrive at the VA hospital in Pensacola	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP the VA hospital ] in [SL:LOCATION_MODIFIER biloxi ] ] ] [SL:DATE_TIME_DEPARTURE at 9 am ] and only use [SL:PATH 1 - 10 ] what time will I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the VA hospital ] in [SL:LOCATION_MODIFIER Pensacola ] ] ] ]
Distance to Toronto in kilometers	[IN:GET_DISTANCE Distance to [SL:DESTINATION Toronto ] in [SL:UNIT_DISTANCE kilometers ] ]
is there a faster way to get there	[IN:UPDATE_DIRECTIONS is [SL:DESTINATION there ] a faster way to get there ]
where is next gas station	[IN:GET_LOCATION where is [SL:LOCATION_MODIFIER next ] [SL:CATEGORY_LOCATION gas station ] ]
when should I be arriving home	[IN:GET_ESTIMATED_ARRIVAL when should I be arriving [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
what time do the bars close in LA	[IN:UNSUPPORTED what time do the bars close in LA ]
How many miles from Meridian, MS to Sweet Water, TN	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE Meridian , MS ] to [SL:DESTINATION Sweet Water , TN ] ]
Times to visit the parks in Jacksonville day time	[IN:UNSUPPORTED Times to visit the parks in Jacksonville day time ]
how many kilometers is it from norman to new orleans	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE kilometers ] is it from [SL:SOURCE norman ] to [SL:DESTINATION new orleans ] ]
what is the distance from LA to San Fran	[IN:GET_DISTANCE what is the distance from [SL:SOURCE LA ] to [SL:DESTINATION San Fran ] ]
I want to be at my daughter's by 8am what time should I leave	[IN:GET_ESTIMATED_DEPARTURE I want to be at [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION daughter ] 's ] ] [SL:DATE_TIME_ARRIVAL by 8 am ] what time should I leave ]
skip traffic	[IN:UPDATE_DIRECTIONS skip [SL:OBSTRUCTION_AVOID traffic ] ]
Who has the best margaritas in the Indianapolis	[IN:UNSUPPORTED Who has the best margaritas in the Indianapolis ]
when will we get to the next gas station.	[IN:GET_ESTIMATED_ARRIVAL when will we get to [SL:DESTINATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER next ] [SL:CATEGORY_LOCATION gas station ] ] ] . ]
what is the distance from augusta to decatur	[IN:GET_DISTANCE what is the distance from [SL:SOURCE augusta ] to [SL:DESTINATION decatur ] ]
What is the distance between Honolulu and Kauai	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Honolulu ] and [SL:DESTINATION Kauai ] ]
I have leave Mark's house at 9:45pm, what time will I get home?	[IN:GET_ESTIMATED_ARRIVAL I have leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT Mark ] 's house ] ] [SL:DATE_TIME_DEPARTURE at 9 : 45 pm ] , what time will I get [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ? ]
create an event for Tuesday at my house	[IN:UNSUPPORTED_EVENT create an event for Tuesday at my house ]
When will we get to our destination	[IN:GET_ESTIMATED_ARRIVAL When will we get to [SL:DESTINATION our destination ] ]
BEST panorama view of the city	[IN:UNSUPPORTED BEST panorama view of the city ]
if i start right now from my brother's home,when i can arrive at airport ,San Jose.	[IN:GET_ESTIMATED_ARRIVAL if i start [SL:DATE_TIME_DEPARTURE right now ] from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION brother ] 's home ] ] , when i can arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION airport ] , [SL:LOCATION_MODIFIER San Jose ] ] ] . ]
How often does Kelly travel outside the US?	[IN:UNSUPPORTED How often does Kelly travel outside the US ? ]
Pumpkin patches in Havasu	[IN:UNSUPPORTED_EVENT Pumpkin patches in Havasu ]
Is there a beach near Robby's house?	[IN:UNSUPPORTED Is there a beach near Robby 's house ? ]
What is the distance between Key West and Miami	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Key West ] and [SL:DESTINATION Miami ] ]
Can I get from here to Cairo before dark	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Cairo ] [SL:DATE_TIME_ARRIVAL before dark ] ]
Are there any detours to Scotch Plains?	[IN:GET_INFO_ROUTE Are there [SL:PATH any detours ] to [SL:DESTINATION Scotch Plains ] ? ]
if i want to avoid flooded streets, can i get from the bank to alice's house in 15 minutes	[IN:GET_ESTIMATED_ARRIVAL if i want to avoid [SL:ROAD_CONDITION_AVOID flooded streets ] , can i get from [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION the bank ] ] ] to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT alice ] 's house ] ] [SL:DATE_TIME_ARRIVAL in 15 minutes ] ]
Is there an alternate route to avoid so much traffic	[IN:UPDATE_DIRECTIONS Is there an alternate route to avoid so much [SL:OBSTRUCTION_AVOID traffic ] ]
Haitian restaurants  not too far away but also parts of city that opens 24 hours	[IN:UNSUPPORTED Haitian restaurants not too far away but also parts of city that opens 24 hours ]
When is my brother in laws surgery day?	[IN:UNSUPPORTED When is my brother in laws surgery day ? ]
Any dine in movie theaters in Brooklyn	[IN:UNSUPPORTED Any dine in movie theaters in Brooklyn ]
If I leave here at 5 am, when will I get to Cairo?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE at 5 am ] , when will I get to [SL:DESTINATION Cairo ] ? ]
If I left right now, what time will I make it to FedEx Forum	[IN:GET_ESTIMATED_ARRIVAL If I left [SL:DATE_TIME_DEPARTURE right now ] , what time will I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP FedEx Forum ] ] ] ]
Where would I find good Japanese food in town	[IN:UNSUPPORTED Where would I find good Japanese food in town ]
How far is the drive between Indianapolis and New York	[IN:GET_DISTANCE How far is the [SL:METHOD_TRAVEL drive ] between [SL:SOURCE Indianapolis ] and [SL:DESTINATION New York ] ]
Any re-route suggestions	[IN:UPDATE_DIRECTIONS Any re - route suggestions ]
what time can we leave to get to  Idaho by 9pm.	[IN:GET_ESTIMATED_DEPARTURE what time can we leave to get to [SL:DESTINATION Idaho ] [SL:DATE_TIME_ARRIVAL by 9 pm ] . ]
I need to know how many miles are between portland and new york	[IN:GET_DISTANCE I need to know how many [SL:UNIT_DISTANCE miles ] are between [SL:SOURCE portland ] and [SL:DESTINATION new york ] ]
